"filename", "language", "Markdown", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 40, 0, 0, 0, 40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 103, 0, 0, 10, 113
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md", "Markdown", 375, 0, 0, 40, 415
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go", "Go", 0, 14, 0, 3, 17
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go", "Go", 0, 32, 0, 4, 36
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch_test.go", "Go", 0, 55, 15, 10, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/materialize_artifact.go", "Go", 0, 56, 15, 14, 85
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/materialize_artifact_test.go", "Go", 0, 100, 15, 11, 126
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go", "Go", 0, 33, 0, 4, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go", "Go", 0, 24, 0, 4, 28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/config.go", "Go", 0, 202, 15, 17, 234
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/env.go", "Go", 0, 70, 15, 10, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/resources.go", "Go", 0, 70, 15, 8, 93
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, -219, 0, -4, -223
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run_test.go", "Go", 0, 24, 15, 8, 47
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go", "Go", 0, 41, 0, 4, 45
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder_test.go", "Go", 0, 56, 15, 10, 81
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go", "Go", 0, -101, -15, -11, -127
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret.go", "Go", 0, -24, 0, -3, -27
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret_test.go", "Go", 0, -49, 0, -5, -54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go", "Go", 0, -25, 0, -1, -26
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go", "Go", 0, -47, 0, -13, -60
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/preflight.go", "Go", 0, -43, 0, -7, -50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go", "Go", 0, -3, 0, 0, -3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go", "Go", 0, -43, 0, -7, -50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go", "Go", 0, 2, 0, 0, 2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 5, 0, 0, 5
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go", "Go", 0, -21, 0, 0, -21
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/storageprojection/projection.go", "Go", 0, 102, 15, 11, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/handle.go", "Go", 0, 105, 15, 11, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/lifecycle.go", "Go", 0, 169, 15, 13, 197
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, -135, 0, -7, -142
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_lifecycle_test.go", "Go", 0, 247, 15, 37, 299
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_phase_sync_test.go", "Go", 0, 96, 15, 12, 123
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, -150, 0, -19, -169
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 43, 0, 5, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/sync.go", "Go", 0, 53, 15, 10, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/client.go", "Go", 0, -3, 0, 4, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/multipart_state.go", "Go", 0, 106, 15, 11, 132
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/phase_mutation.go", "Go", 0, 103, 15, 10, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret.go", "Go", 0, -23, 0, -2, -25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret_test.go", "Go", 0, 40, 0, 7, 47
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/token_storage.go", "Go", 0, 56, 15, 10, 81
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options.go", "Go", 0, 1, 0, 0, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/format_common.go", "Go", 0, 31, 0, 4, 35
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/gguf.go", "Go", 0, 3, 0, 0, 3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/safetensors.go", "Go", 0, 3, 0, 0, 3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation_test.go", "Go", 0, 18, 0, 1, 19
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, -62, 0, -10, -72
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 25, 0, 3, 28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/adapter_test.go", "Go", 0, 100, 15, 13, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/inspect.go", "Go", 0, 195, 15, 35, 245
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/inspect_test.go", "Go", 0, 88, 15, 12, 115
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/materialize.go", "Go", 0, 231, 15, 33, 279
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/materialize_support.go", "Go", 0, 216, 15, 23, 254
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/materialize_test.go", "Go", 0, 147, 15, 20, 182
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/validation.go", "Go", 0, 152, 15, 16, 183
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile.go", "Go", 0, -2, 0, 0, -2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile_test.go", "Go", 0, -1, 0, 0, -1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile.go", "Go", 0, -11, 0, -1, -12
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile_test.go", "Go", 0, 71, 0, 9, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/task.go", "Go", 0, 36, 15, 6, 57
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go", "Go", 0, -232, 0, -28, -260
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_extract.go", "Go", 0, 135, 15, 17, 167
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/hfsnapshot.go", "Go", 0, 115, 15, 18, 148
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/hfsnapshot_test.go", "Go", 0, 75, 15, 12, 102
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go", "Go", 0, -242, -15, -32, -289
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe.go", "Go", 0, -113, -15, -12, -140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe_test.go", "Go", 0, -61, -15, -10, -86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_test.go", "Go", 0, -45, -15, -11, -71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go", "Go", 0, -175, 0, -21, -196
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_fetch_test.go", "Go", 0, 99, 15, 11, 125
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_info.go", "Go", 0, 85, 15, 14, 114
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror.go", "Go", 0, 73, 15, 10, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_fetch_test.go", "Go", 0, 82, 15, 10, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_resume_test.go", "Go", 0, 75, 15, 9, 99
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_state.go", "Go", 0, 175, 15, 16, 206
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_test_helpers_test.go", "Go", 0, 182, 15, 27, 224
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_tls_test.go", "Go", 0, 41, 15, 9, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_mirror_transport.go", "Go", 0, 269, 15, 16, 300
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_snapshot.go", "Go", 0, 63, 15, 12, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_test.go", "Go", 0, 42, 0, 1, 43
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/materialize.go", "Go", 0, 98, 15, 17, 130
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/rawstage.go", "Go", 0, -32, 0, -5, -37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote.go", "Go", 0, 15, 0, 4, 19
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote_test.go", "Go", 0, -116, -15, -21, -152
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/test_helpers_test.go", "Go", 0, 50, 15, 16, 81
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcemirror/objectstore/adapter.go", "Go", 0, 162, 15, 20, 197
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcemirror/objectstore/adapter_test.go", "Go", 0, 124, 15, 16, 155
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/adapter.go", "Go", 0, 8, 0, 1, 9
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/multipart.go", "Go", 0, 48, 0, 4, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/object_io.go", "Go", 0, 96, 0, 10, 106
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/object_io_test.go", "Go", 0, 40, 15, 8, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_progress_test.go", "Go", 0, 144, 15, 13, 172
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go", "Go", 0, -139, 0, -9, -148
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime_test.go", "Go", 0, 10, 0, 3, 13
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_runtime_test.go", "Go", 0, -278, 0, -6, -284
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_source_worker_test.go", "Go", 0, 132, 15, 7, 154
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_upload_session_test.go", "Go", 0, 161, 15, 7, 183
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate.go", "Go", 0, 12, 0, 1, 13
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate_test.go", "Go", 0, 21, 0, 0, 21
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation.go", "Go", 0, 32, 0, 2, 34
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation_test.go", "Go", 0, -144, 0, -5, -149
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go", "Go", 0, -27, 0, -1, -28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go", "Go", 0, -56, 0, 0, -56
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go", "Go", 0, -5, 0, 0, -5
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight.go", "Go", 0, -41, 0, -4, -45
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight_test.go", "Go", 0, -64, 0, -6, -70
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap.go", "Go", 0, 7, 0, 0, 7
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common.go", "Go", 0, 64, 0, 14, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common_test.go", "Go", 0, 91, 0, 15, 106
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job.go", "Go", 0, 14, 0, 1, 15
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job_test.go", "Go", 0, 24, 0, 1, 25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/io.go", "Go", 0, 25, 0, 1, 26
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/options.go", "Go", 0, 9, 0, 0, 9
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler.go", "Go", 0, 3, 0, 0, 3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_test.go", "Go", 0, 2, 0, -3, -1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_upload_test.go", "Go", 0, 162, 15, 25, 202
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/test_helpers_test.go", "Go", 0, 57, 0, 6, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/upload_session_sync.go", "Go", 0, 110, 15, 11, 136
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/backend_prefix.go", "Go", 0, 52, 15, 9, 76
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/backend_prefix_test.go", "Go", 0, 35, 15, 10, 60
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run.go", "Go", 0, 31, 0, 4, 35
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run_test.go", "Go", 0, 51, 0, 6, 57
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/provenance.go", "Go", 0, 11, 0, 1, 12
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/provenance_test.go", "Go", 0, 24, 15, 7, 46
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/rawstage.go", "Go", 0, 33, 0, 3, 36
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/rawstage_test.go", "Go", 0, 57, 15, 18, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run.go", "Go", 0, -20, 0, -3, -23
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run_test.go", "Go", 0, 52, 0, 10, 62
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/support.go", "Go", 0, 16, 0, 1, 17
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/upload.go", "Go", 0, -4, 0, 0, -4
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/complete_api.go", "Go", 0, 31, 15, 5, 51
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/http_api.go", "Go", 0, -57, 0, -4, -61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/logging.go", "Go", 0, 22, 15, 4, 41
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/payloads.go", "Go", 0, 8, 0, 1, 9
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/probe_api.go", "Go", 0, 16, 0, 2, 18
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/request_helpers.go", "Go", 0, 24, 0, 2, 26
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run.go", "Go", 0, 12, 0, 1, 13
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_multipart_api_test.go", "Go", 0, 218, 15, 23, 256
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_session_api_test.go", "Go", 0, 187, 15, 30, 232
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_session_expiry_test.go", "Go", 0, 96, 15, 16, 127
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_test.go", "Go", 0, -282, 0, -39, -321
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/state.go", "Go", 0, 88, 15, 11, 114
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/terminal_api.go", "Go", 0, 118, 15, 17, 150
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/conditions.go", "Go", 0, 5, 0, 1, 6
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status.go", "Go", 0, 1, 0, 0, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status_success_test.go", "Go", 0, 196, 15, 13, 224
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status_test.go", "Go", 0, -162, 0, -7, -169
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/monitoring/catalogmetrics/collector.go", "Go", 0, 195, 15, 25, 235
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/monitoring/catalogmetrics/collector_test.go", "Go", 0, 202, 15, 24, 241
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/monitoring/catalogmetrics/metrics.go", "Go", 0, 74, 15, 9, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/monitoring/catalogmetrics/object.go", "Go", 0, 136, 15, 29, 180
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/modelpack/contract.go", "Go", 0, 15, 0, 3, 18
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/operation_contract.go", "Go", 0, -10, 0, -2, -12
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/operation_contract_test.go", "Go", 0, -36, 0, -4, -40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/ports.go", "Go", 0, 4, 0, 0, 4
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/sourcemirror/contract.go", "Go", 0, 169, 16, 22, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/sourcemirror/contract_test.go", "Go", 0, 87, 15, 16, 118
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/uploadstaging/contract.go", "Go", 0, 18, 0, 4, 22
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle.go", "Go", 0, 2, 0, 0, 2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle_test.go", "Go", 0, 8, 0, 0, 8
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/uploadsessiontoken/hash.go", "Go", 0, 10, 15, 4, 29
"Total", "-", 518, 5454, 916, 866, 7754